,Company,Qualifications,Url,City,State,Title 1,Title 2
0,deloitte,"design patterns, azure, sql, pytorch, software troubleshooting, bachelors degree, m.b.a., masters degree",https://www.simplyhired.co.in/job/Si4NFKGVDKO9DmzuJwJmhZ-YY8xoMu5HdywD2xkhBdJ0_f7q86TQag?q=data+scientist,hyderabad,telangana,senior data scientist,none
1,kroll,"project management, analysis skills, azure, natural language processing, leadership, doctoral degree, bachelors degree, masters degree",https://www.simplyhired.co.in/job/VMl0QIFIndL6HOfy1vyvVO7owrAPrwk2qBslu7lEjD1O1cEhOEaWiA?q=data+scientist,bengaluru,karnataka,assistant manager,us innovation data scientist
2,deloitte,"sage, power bi, d3.js, azure, pytorch, masters degree",https://www.simplyhired.co.in/job/EyhxhGR5MVNZhB8l1IxAOFNYZ9QBw8-9A1ZOARXudWWGw6HMLC2aEg?q=data+scientist,bengaluru,karnataka,data scientist,none
3,mercedes-benz research and development india private limited,"oop, machine learning, python, forecasting, application development, bachelors degree",https://www.simplyhired.co.in/job/E6BkS1JT4PzOOT2P5D0WXMqmhz__VQ1menlfaIppBuoUPy9kVYlPsg?q=data+scientist,chennai,tamil nadu,data scientist,machine learning/artificial intelligence
4,partnersoft technologies private limited,"sql, pytorch, tensorflow, agile, hadoop",https://www.simplyhired.co.in/job/L-MNDpgxEBUhSYaLQsA52R5WhYWeCWB92gY1FzUMvEYUnYefd840-A?q=data+scientist,bengaluru,karnataka,assistant data scientist,none
5,ascendeum,"data modeling, sql, c++, communication skills, scala, bachelors degree, masters degree",https://www.simplyhired.co.in/job/6vFaKUggPKSEipeN_3_rxrJ24VWS4Disc9YVawjUmuMLFaCkVxStww?q=data+scientist,hyderabad,telangana,data science trainee,none
6,as global solutions,data science,https://www.simplyhired.co.in/job/gtCERHhLJp7YZJZUZgx99I0FC_apMhFQvxhFkdDPiwCFtJHQiBzoKQ?q=data+scientist,bengaluru,karnataka,data scientist,none
7,payu,"statistical analysis, sql, spark, predictive analytics, sas, bachelors degree",https://www.simplyhired.co.in/job/5ecnsCJAhaUYvCnYJT_80HMxUrMrkmY-eFk-WXr91DJa6-JK9r3e8A?q=data+scientist,hyderabad,telangana,crypto data scientist (india remote),none
8,token metrics,"communication skills, software architecture, r, machine learning, python, bachelors degree, masters degree",https://www.simplyhired.co.in/job/341PlgAHlpT79eXPyugz4i55cQzbN_toYG7j3XmeBhrQOyKPYwp9ow?q=data+scientist,chennai,tamil nadu,data scientist,none
9,tenacitics inc,"power bi, azure, data visualization, tensorflow, communication skills, doctoral degree, masters degree",https://www.simplyhired.co.in/job/JmAUhlUjWr4c-28eMknZCOy_SQ0fFcmCBbvd4fAXUhBO5h-ek6eIdQ?q=data+scientist,bengaluru,karnataka,data science intern,none
10,techcovery solutions,"numpy, pandas, natural language processing, tensorflow, oop, bachelors degree, masters degree",https://www.simplyhired.co.in/job/aXS1zHlcMGj47yqV-L1MvcMsmUAG67_xrGC648N6ojlr3M4E3wzRSw?q=data+scientist,hyderabad,telangana,data scientist,none
11,showtime consulting,"power bi, sql, tableau, data visualization, r, bachelors degree, masters degree",https://www.simplyhired.co.in/job/7bxiH8SZuQ3YqJnRz21YHaqBXG5cdFiLkbRg6apQWaBZGAYPXNNvGA?q=data+scientist,bengaluru,karnataka,data science,none
12,infosys limited,"project management, sql, r, machine learning, python, bachelors degree",https://www.simplyhired.co.in/job/UopuSKf82W4HhODGsadSOUvirmsRo9TfS0tHD0MtLHGMTd-iYitDjw?q=data+scientist,chennai,tamil nadu,data annotator (machine learning),none
13,spritle software,"machine learning, computer skills",https://www.simplyhired.co.in/job/vZ-B-rA0oPXMI1WjAheA11_cktzNHYACHtX5whwfam5UeICX9GwUyg?q=data+scientist,bengaluru,karnataka,data scientist consultant,none
14,ey,"power bi, sql, microsoft excel, predictive analytics, microsoft powerpoint, masters degree",https://www.simplyhired.co.in/job/qYLjvGs0aA3YpeOV1mSraoUGMHXYH0OElIdH3-Y9TwphLUEqD7LHgQ?q=data+scientist,bengaluru,karnataka,data scientist,none
15,equbot india,"continuous integration, sdks, git, devops, graph databases",https://www.simplyhired.co.in/job/joJJtZGsnkJXHSfAit0K1SkuuS0AFedaplURDa_L-5tsa9gBqYDY3Q?q=data+scientist,chennai,tamil nadu,data scientist,none
