Title,Company,Location,Qualifications,Url
Data Scientist,Internatinal Scientific Research and Publications,"Chennai, Tamil Nadu",[],https://www.simplyhired.co.in/job/iN4jGuarlOpO9jA_kMHuuVVs-2-2rLe4DgKFfnO9eV_EysGikuS2Cw?q=data+scientist
Data Scientist,Deloitte,"Chennai, Tamil Nadu","['Design patterns', 'Azure', 'SQL', 'PyTorch', 'Software troubleshooting', ""Bachelor's degree"", 'M.B.A.', ""Master's degree""]",https://www.simplyhired.co.in/job/Si4NFKGVDKO9DmzuJwJmhZ-YY8xoMu5HdywD2xkhBdJ0_f7q86TQag?q=data+scientist
Senior Data Scientist,Kroll,"Hyderabad, Telangana","['Project management', 'Analysis skills', 'Azure', 'Natural language processing', 'Leadership', 'Doctoral degree', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/VMl0QIFIndL6HOfy1vyvVO7owrAPrwk2qBslu7lEjD1O1cEhOEaWiA?q=data+scientist
Assistant Manager - US Innovation Data Scientist - Bengaluru/Mumbai,Deloitte,"Bengaluru, Karnataka","['Sage', 'Power BI', 'D3.js', 'Azure', 'PyTorch', ""Master's degree""]",https://www.simplyhired.co.in/job/EyhxhGR5MVNZhB8l1IxAOFNYZ9QBw8-9A1ZOARXudWWGw6HMLC2aEg?q=data+scientist
Data Scientist,Mercedes-Benz Research and Development India Private Limited,"Bengaluru, Karnataka","['OOP', 'Machine learning', 'Python', 'Forecasting', 'Application development', ""Bachelor's degree""]",https://www.simplyhired.co.in/job/E6BkS1JT4PzOOT2P5D0WXMqmhz__VQ1menlfaIppBuoUPy9kVYlPsg?q=data+scientist
Data Scientist - Machine Learning/Artificial Intelligence,Partnersoft Technologies Private Limited,"Chennai, Tamil Nadu","['SQL', 'PyTorch', 'TensorFlow', 'Agile', 'Hadoop']",https://www.simplyhired.co.in/job/L-MNDpgxEBUhSYaLQsA52R5WhYWeCWB92gY1FzUMvEYUnYefd840-A?q=data+scientist
Assistant Data Scientist,Ascendeum,"Bengaluru, Karnataka","['Data modeling', 'SQL', 'C++', 'Communication skills', 'Scala', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/6vFaKUggPKSEipeN_3_rxrJ24VWS4Disc9YVawjUmuMLFaCkVxStww?q=data+scientist
Data Science Trainee,AS Global Solutions,"Hyderabad, Telangana",['Data science'],https://www.simplyhired.co.in/job/gtCERHhLJp7YZJZUZgx99I0FC_apMhFQvxhFkdDPiwCFtJHQiBzoKQ?q=data+scientist
Data Scientist,PayU,"Bengaluru, Karnataka","['Statistical analysis', 'SQL', 'Spark', 'Predictive analytics', 'SAS', ""Bachelor's degree""]",https://www.simplyhired.co.in/job/5ecnsCJAhaUYvCnYJT_80HMxUrMrkmY-eFk-WXr91DJa6-JK9r3e8A?q=data+scientist
Crypto Data Scientist (India Remote),Token Metrics,"Hyderabad, Telangana","['Communication skills', 'Software architecture', 'R', 'Machine learning', 'Python', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/341PlgAHlpT79eXPyugz4i55cQzbN_toYG7j3XmeBhrQOyKPYwp9ow?q=data+scientist
Data Scientist,Tenacitics Inc,"Chennai, Tamil Nadu","['Power BI', 'Azure', 'Data visualization', 'TensorFlow', 'Communication skills', 'Doctoral degree', ""Master's degree""]",https://www.simplyhired.co.in/job/JmAUhlUjWr4c-28eMknZCOy_SQ0fFcmCBbvd4fAXUhBO5h-ek6eIdQ?q=data+scientist
Data Science Intern,Techcovery Solutions,"Bengaluru, Karnataka","['NumPy', 'Pandas', 'Natural language processing', 'TensorFlow', 'OOP', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/aXS1zHlcMGj47yqV-L1MvcMsmUAG67_xrGC648N6ojlr3M4E3wzRSw?q=data+scientist
Data Scientist,ShowTime Consulting,"Hyderabad, Telangana","['Power BI', 'SQL', 'Tableau', 'Data visualization', 'R', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/7bxiH8SZuQ3YqJnRz21YHaqBXG5cdFiLkbRg6apQWaBZGAYPXNNvGA?q=data+scientist
Data Science,Infosys Limited,"Bengaluru, Karnataka","['Project management', 'SQL', 'R', 'Machine learning', 'Python', ""Bachelor's degree""]",https://www.simplyhired.co.in/job/UopuSKf82W4HhODGsadSOUvirmsRo9TfS0tHD0MtLHGMTd-iYitDjw?q=data+scientist
Data Annotator (Machine Learning),Spritle Software,"Chennai, Tamil Nadu","['Machine learning', 'Computer skills']",https://www.simplyhired.co.in/job/vZ-B-rA0oPXMI1WjAheA11_cktzNHYACHtX5whwfam5UeICX9GwUyg?q=data+scientist
Data Scientist Consultant,EY,"Bengaluru, Karnataka","['Power BI', 'SQL', 'Microsoft Excel', 'Predictive analytics', 'Microsoft Powerpoint', ""Master's degree""]",https://www.simplyhired.co.in/job/qYLjvGs0aA3YpeOV1mSraoUGMHXYH0OElIdH3-Y9TwphLUEqD7LHgQ?q=data+scientist
Data Scientist,Equbot India,"Bengaluru, Karnataka","['Continuous integration', 'SDKs', 'Git', 'DevOps', 'Graph databases']",https://www.simplyhired.co.in/job/joJJtZGsnkJXHSfAit0K1SkuuS0AFedaplURDa_L-5tsa9gBqYDY3Q?q=data+scientist
